Date,P_core1,P_core2,P_ppi,B_pi,S_as,S_ab,S_mu,S_mx,S_mf,S_md,S_mo,S_mb,I_s,I_m,I_c,H_p,L_ml,L_mr,L_er,L_ur,M_sf,M_sc,M_si,M_if,M_ic,M_ii,H_c,S_cs,S_cb,M_fi,B_bx,B_bi,M_ur,R_d,L_em,P_cpi,R_s,M_i,M_s,M_p,B_gi,B_gx,B_sx,B_si,B_px,S_es,N_gdp,N_pc,N_fi,N_ci,N_gx
2001-01-31,69.287,70.661,78.68,81.91,,,,,,,,,62.0,48.416,77.7208,,,,57.94748073503263,4.4,73.428,67.903,42.767,61.491,81.921,41.962,6654126.0,,,61.3,12644.929,12431.023,101.767,39.0,21089.0,68.103,60.8,49.02,51.682,48.079,12250.3,13289.3,2768.6,2539.6,134.05,,,,,,
2001-02-28,69.422,70.938,78.52,81.23,,,,,,,,,61.5,48.659,78.2276,,,,57.76319502074691,4.7,72.671,68.141,43.006,61.336,74.193,43.183,6697513.0,,,56.9,13354.074,12732.258,100.35,41.3,21075.1,68.435,61.7,49.643,51.278,48.277,12394.0,13016.4,2429.4,2763.7,130.06,,,,,,
2001-03-31,69.898,71.423,78.7,81.74,,,,,,,,,61.4,49.072,81.0495,,,,58.123195020746905,4.6,72.387,68.984,43.006,61.808,72.094,43.648,6939111.0,,,59.3,14124.891,12951.886,101.562,43.1,21191.5,69.035,61.6,49.978,51.682,48.612,11526.1,13146.1,2924.9,2515.4,131.25,,1.2,0.4,1.1,2.2,-0.1
2001-04-30,70.101,71.631,78.65,83.67,,,,,,,,,62.3,49.322,85.7067,,,,59.168195020746914,4.1,72.955,68.832,43.612,61.405,71.596,43.903,7337842.0,,,57.6,12121.11,11212.192,101.459,44.2,21552.4,69.301,62.7,49.885,51.958,48.751,11384.8,11621.3,2528.1,2615.6,133.34,,,,,,
2001-05-31,70.304,71.769,78.58,82.55,,,,,,,,,63.4,49.618,86.4587,,,,59.31319502074691,3.9,75.026,68.984,43.971,60.437,73.282,43.455,7402227.0,,,55.4,13306.959,11554.834,102.084,45.3,21651.9,69.234,64.6,49.93,52.509,49.013,11418.0,12546.0,2785.7,2814.0,128.86,,,,,,
2001-06-30,70.373,71.839,78.26,81.75,,,,,,,,,63.1,49.876,80.9592,,,,59.22319502074691,3.8,76.625,69.146,43.971,59.113,80.74,42.688,6931378.0,,,53.1,12931.941,11718.966,101.123,46.8,21679.3,69.434,64.9,49.636,52.711,49.261,11282.4,12931.3,2726.0,2919.8,125.52,,1.3,3.6,-4.3,3.4,-4.8
2001-07-31,70.373,71.769,78.21,79.88,,,,,,,,,63.0,48.933,80.4614,,,,59.30319502074691,3.8,75.962,68.681,42.886,61.836,71.079,42.613,6888763.0,,,55.4,11392.257,11107.564,100.06,45.7,21708.6,69.567,64.7,49.012,51.618,48.289,11317.4,11731.1,2699.3,2811.7,122.96,,,,,,
2001-08-31,70.576,71.908,77.83,79.09,,,,,,,,,63.7,49.965,89.5264,,,,59.17319502074691,3.8,76.814,70.303,43.672,64.269,64.378,42.093,7664869.0,,,54.4,11766.192,11337.826,100.882,45.1,21789.3,69.833,65.1,48.53,52.987,49.387,10970.1,11977.3,2498.0,2839.0,120.64,,,,,,
2001-09-30,70.712,72.047,77.62,78.59,,,,,,,,,63.8,50.198,95.1823,,,,59.59319502074691,3.7,77.192,68.368,43.792,62.766,67.921,41.962,8149102.0,,,56.3,12447.324,11709.659,100.511,47.9,21857.8,69.767,67.3,48.511,52.849,49.5,11755.7,11546.8,2486.7,2815.1,121.29,,1.4,1.4,-1.6,8.6,0.7
2001-10-31,70.779,72.047,77.25,76.34,,,,,,,,,64.5,50.617,89.5399,,,,59.6081950207469,3.6,77.56,73.784,43.553,62.969,71.459,41.768,7666025.0,,,59.7,12086.028,11506.884,100.32,47.2,21867.9,69.767,65.3,48.447,53.539,50.056,10735.7,11634.8,2220.5,2710.2,119.31,,,,,,
2001-11-30,70.847,72.115,76.94,72.7,,,,,,,,,65.4,50.85,89.8649,,,,59.60319502074692,3.7,77.287,72.162,44.458,64.383,68.306,41.172,7693854.0,,,57.4,12348.967,11532.771,99.568,47.0,21929.5,69.368,67.8,47.774,53.741,50.228,11211.7,11612.8,2414.7,2826.2,115.4,,,,,,
2001-12-31,71.119,72.323,76.47,72.3,,,,,,,,,64.3,49.729,87.1947,,,,59.49819502074691,3.6,72.86,74.789,43.185,67.096,61.308,41.076,7465242.0,,,59.2,11914.472,11301.958,96.763,43.4,21931.9,69.501,67.9,47.962,52.233,49.089,10767.0,11366.4,2294.6,2872.9,114.59,,1.8,2.6,3.0,-4.0,-0.5
